mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2783361434936523,0.023968162603242797,0.030541706085205077,0.007551809186666372,3,2,50,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50}",0.49333333333333335,0.5023696682464455,0.4967032967032967,0.4585152838427948,0.4669421487603306,0.4835727461772402,0.017466870853763486,15
0.5067626476287842,0.02496186500738624,0.03567161560058594,0.0013489133306842135,3,2,100,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.502262443438914,0.5070422535211268,0.48758465011286684,0.46017699115044247,0.46638655462184875,0.48469057856903974,0.018722695954686747,11
0.9568093299865723,0.03650545719353995,0.05845646858215332,0.0036833998861314807,3,2,200,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200}",0.5113122171945701,0.5047169811320755,0.5054945054945055,0.4608501118568233,0.46709129511677283,0.4898930221589494,0.02137918311256905,4
0.2512675285339355,0.009841059928192598,0.02220158576965332,0.0015953503496722913,3,5,50,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 50}",0.49333333333333335,0.5023696682464455,0.4978165938864629,0.4585152838427948,0.4669421487603306,0.48379540561387346,0.017639080709792435,13
0.6556083202362061,0.06799445138784646,0.04031076431274414,0.00795086471572132,3,5,100,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100}",0.502262443438914,0.5070422535211268,0.48769574944071586,0.46017699115044247,0.46638655462184875,0.48471279843460957,0.01872618301904191,10
1.2156869411468505,0.07755792767515282,0.09799809455871582,0.03187078675798337,3,5,200,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 200}",0.5124716553287982,0.5047169811320755,0.5022026431718062,0.4608501118568233,0.46709129511677283,0.4894665373212552,0.021182875882537974,5
0.29576907157897947,0.02846470748403466,0.023087596893310545,0.0052723388867058785,3,10,50,"{'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 50}",0.49888641425389757,0.4988235294117647,0.4878048780487805,0.45454545454545453,0.4669421487603306,0.48140048500404553,0.017779609648717304,18
0.6954753398895264,0.041300862728675655,0.03959536552429199,0.004710627330781943,3,10,100,"{'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.5034013605442177,0.5058548009367682,0.48306997742663654,0.45916114790286977,0.46638655462184875,0.48357476828646817,0.01887436345141588,14
1.5437600135803222,0.21846547345710313,0.079595947265625,0.01144719036255156,3,10,200,"{'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 200}",0.5136363636363637,0.5023474178403756,0.5022026431718062,0.45739910313901344,0.46709129511677283,0.48853536458086627,0.022076876430628698,6
0.521087646484375,0.10528772845961515,0.03819670677185059,0.01672127042859744,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.5148063781321185,0.505800464037123,0.5022026431718062,0.4496487119437939,0.4642082429501085,0.48733328804699,0.02558046120191897,7
