model,fold,inner_best_score,outer_test_f1,gap,best_params
Random Forest,1,0.4986812307017939,0.509090909090909,-0.010409678389115162,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}"
Random Forest,2,0.4976941999610577,0.4894117647058824,0.008282435255175302,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}"
Random Forest,3,0.5026531644401088,0.4576659038901602,0.04498726054994856,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}"
Random Forest,4,0.4993967459642382,0.48623853211009177,0.01315821385414645,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}"
Random Forest,5,0.4851309740436003,0.5173210161662818,-0.032190042122681506,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}"
