Model,Inner best_score_ (mean),Outer nested CV score (mean),Gap (inner - outer)
Random Forest,0.4967112630221598,0.49194562519266505,0.00476563782949474
Decision Tree,0.4764849849852143,0.4629494633159851,0.013535521669229222
